algorithm,generation_method,avg_result,time_seconds,error,task_0,task_1,task_2,task_3,task_4,task_5,task_6,task_7,task_8,task_9,task_10,task_11,task_12,task_13,task_14,task_15,task_16,task_17,task_18,task_19,task_20,task_21,task_22,task_23,prompt_file
seed_1_AdaptiveArchiveDEA.py,seed,N/A,5.62,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
seed_2_CovarianceGuidedEvolutionStrategy.py,seed,2.715152e+03,103.72,,5591.3862902530545,1.578703550957152,4166462134.0245013,35126.5505039332,3.0023280701413606,3.048858553024843,17328.25898348104,12803.51196448839,5192.860992696826,13314.189495273395,18427.62894806542,27239.36669547297,17491.70701807094,18304.788376145392,8.294399344733899,3574.8656199757725,210821.8398801422,13626.604940422343,31475.6940185415,11.02404449535176,96.04170488850231,64957.60029873601,38.31843159693447,125.08626897685447,
seed_3_TopologyAdaptiveParticleSwarmOptimizer.py,seed,N/A,4.53,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
seed_4_CulturalMemeticDifferentialEvolution.py,seed,N/A,5.47,,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,
